Date,AAPL,GE,GOOG,IBM,MSFT
2012-02-10,61.3321647644043,14.025383949279785,301.8236999511719,146.60877990722656,25.15758514404297
2012-02-13,62.473228454589844,14.166528701782227,304.9569396972656,146.76119995117188,25.223573684692383
2012-02-14,63.32594680786133,14.069962501525879,303.74151611328125,146.45639038085938,25.115636825561523
2012-02-15,61.860443115234375,13.936236381530762,301.64935302734375,146.47926330566406,24.9495849609375
2012-02-16,62.42477035522461,14.121960639953613,302.1275634765625,147.06591796875,25.979122161865234
2012-02-17,62.4135856628418,14.322535514831543,301.1910705566406,147.37074279785156,25.945911407470703
2012-02-21,63.995933532714844,14.419103622436523,305.85357666015625,147.34783935546875,26.10365867614746
2012-02-22,63.77093505859375,14.40424633026123,302.83489990234375,147.713623046875,25.96251678466797
2012-02-23,64.18733215332031,14.476818084716797,301.9233093261719,150.5631866455078,26.04553985595703
2012-02-24,64.93563842773438,14.424338340759277,303.8112487792969,150.677490234375,26.136865615844727
2012-02-27,65.35205841064453,14.296889305114746,303.517333984375,150.50221252441406,26.028928756713867
2012-02-28,66.5515365600586,14.364365577697754,308.0403747558594,150.84510803222656,26.460674285888672
2012-02-29,67.42536163330078,14.281898498535156,307.97064208984375,149.89266967773438,26.352739334106445
2012-03-01,67.67768096923828,14.33437442779541,310.03790283203125,150.50221252441406,26.809383392333984
2012-03-02,67.76592254638672,14.221920013427734,309.4650573730469,151.4774627685547,26.635032653808594
2012-03-05,66.27188873291016,14.1319580078125,305.9781188964844,152.8870086669922,26.402549743652344
2012-03-06,65.911376953125,13.809584617614746,301.3504638671875,150.29647827148438,26.203292846679688
2012-03-07,65.96482849121094,14.071975708007812,302.26702880859375,150.68508911132812,26.435766220092773
2012-03-08,67.36941528320312,14.266901016235352,302.4364013671875,152.23936462402344,26.576908111572266
2012-03-09,67.76472473144531,14.274397850036621,299.0042724609375,152.8565216064453,26.560302734375
2012-03-12,68.6136703491211,14.34186840057373,301.4450988769531,153.14608764648438,26.601821899414062
2012-03-13,70.61489868164062,14.686736106872559,307.7365417480469,155.26419067382812,27.124887466430664
2012-03-14,73.28487396240234,14.836676597595215,306.8448791503906,155.98040771484375,27.207918167114258
2012-03-15,72.7851791381836,15.114070892333984,309.4052734375,156.95565795898438,27.27433967590332
2012-03-16,72.78643035888672,15.144058227539062,311.35296630859375,156.96328735351562,27.066770553588867
2012-03-19,74.7168197631836,15.151558876037598,315.8062744140625,156.7423095703125,26.73466682434082
2012-03-20,75.3209228515625,15.04659652709961,315.56219482421875,155.62232971191406,26.560302734375
2012-03-21,74.89081573486328,15.04659652709961,318.7950744628906,155.9575653076172,26.49388313293457
2012-03-22,74.49805450439453,14.88166332244873,321.8187561035156,156.56712341308594,26.5686092376709
2012-03-23,74.089111328125,14.82918643951416,320.09521484375,156.5594940185547,26.576908111572266
2012-03-26,75.44770812988281,15.031599998474121,323.4526062011719,158.30430603027344,27.058467864990234
2012-03-27,76.37995147705078,15.02410888671875,322.30194091796875,157.854736328125,27.000343322753906
2012-03-28,76.7702407836914,15.001615524291992,326.6556091308594,157.93856811523438,26.726356506347656
2012-03-29,75.80567932128906,14.95663070678711,322.99432373046875,158.68524169921875,26.668241500854492
2012-03-30,74.52416229248047,15.04659652709961,319.4227294921875,158.9747772216797,26.78447914123535
2012-04-02,76.8957748413086,15.009108543395996,322.2521057128906,159.59951782226562,26.809383392333984
2012-04-03,78.22454071044922,14.964125633239746,320.1101379394531,159.6223907470703,26.51879119873047
2012-04-04,77.60181427001953,14.799196243286133,316.38909912109375,156.99380493164062,25.912700653076172
2012-04-05,78.76651000976562,14.611763954162598,314.9793701171875,156.55184936523438,26.170076370239258
2012-04-09,79.08346557617188,14.3943510055542,314.2421569824219,156.14805603027344,25.82136344909668
2012-04-10,78.11518859863281,14.049488067626953,312.25958251953125,154.15943908691406,25.298290252685547
2012-04-11,77.83676147460938,14.251914024353027,316.7925720214844,154.3498992919922,25.198667526245117
2012-04-12,77.41039276123047,14.469325065612793,324.28948974609375,156.43760681152344,25.72173500061035
2012-04-13,75.23017883300781,14.154448509216309,311.1337890625,154.5175323486328,25.58058738708496
2012-04-16,72.11022186279297,14.169439315795898,301.90338134765625,154.4565887451172,25.804759979248047
2012-04-17,75.78578186035156,14.499312400817871,303.6468505859375,158.0604705810547,26.10365867614746
2012-04-18,75.61675262451172,14.31938362121582,302.5908203125,152.48324584960938,25.854576110839844
2012-04-19,73.01889038085938,14.34936809539795,298.5310363769531,152.01083374023438,25.74664306640625
2012-04-20,71.22149658203125,14.51430606842041,296.9170837402344,152.07937622070312,26.917325973510742
2012-04-23,71.06238555908203,14.296889305114746,297.6842041015625,151.33270263671875,26.668241500854492
2012-04-24,69.64288330078125,14.649250030517578,299.5123596191406,152.38418579101562,26.502187728881836
2012-04-25,75.82307434082031,14.581775665283203,303.7215881347656,155.10423278808594,26.73466682434082
2012-04-26,75.53720092773438,14.709226608276367,306.5858459472656,156.63565063476562,26.659940719604492
2012-04-27,74.95297241210938,14.82918643951416,306.3417663574219,157.5728302001953,26.55200958251953
2012-04-30,72.58879089355469,14.679239273071289,301.2956848144531,157.77853393554688,26.585216522216797
2012-05-01,72.35884094238281,14.844176292419434,301.0864562988281,158.47950744628906,26.576908111572266
2012-05-02,72.83739471435547,14.821682929992676,302.4961853027344,158.5252227783203,26.402549743652344
2012-05-03,72.3202896118164,14.701730728149414,304.369140625,157.90045166015625,26.369338989257812
2012-05-04,70.26063537597656,14.499312400817871,297.3703918457031,156.18617248535156,25.72173500061035
2012-05-07,70.78644561767578,14.4843168258667,302.640625,155.24136352539062,25.447744369506836
2012-05-08,70.6248550415039,14.431838989257812,305.2508544921875,154.15493774414062,25.323209762573242
2012-05-09,70.74916076660156,14.176937103271484,303.4376525878906,153.96360778808594,25.53907585144043
2012-05-10,70.91571807861328,14.311882972717285,305.6842346191406,153.48159790039062,25.522470474243164
2012-05-11,70.44214630126953,14.251914024353027,301.4849548339844,153.91770935058594,25.871179580688477
2012-05-14,69.38682556152344,13.944528579711914,300.87225341796875,152.5940704345703,25.47265625
2012-05-15,68.75908660888672,13.794589042663574,304.4139709472656,152.2880096435547,25.247005462646484
2012-05-16,67.87782287597656,14.244412422180176,313.29071044921875,152.81594848632812,24.987937927246094
2012-05-17,65.89398956298828,14.154448509216309,310.3616943359375,151.4081268310547,24.837509155273438
2012-05-18,65.92630767822266,14.206924438476562,299.0789794921875,149.87025451660156,24.461435317993164
2012-05-21,69.76718139648438,14.33437442779541,305.90838623046875,151.30870056152344,24.862577438354492
2012-05-22,69.23143768310547,14.37936019897461,299.2782287597656,150.58949279785156,24.870935440063477
2012-05-23,70.9206771850586,14.37936019897461,303.5920715332031,150.05389404296875,24.327726364135742
2012-05-24,70.26934814453125,14.431838989257812,300.702880859375,150.0309600830078,24.294294357299805
2012-05-25,69.89273071289062,14.3943510055542,294.6605529785156,148.66140747070312,24.28592872619629
2012-05-29,71.13323974609375,14.506811141967773,296.060302734375,150.31402587890625,24.703792572021484
2012-05-30,71.99090576171875,14.274397850036621,293.0166931152344,148.8373565673828,24.519939422607422
2012-05-31,71.81190490722656,14.311882972717285,289.345458984375,147.5902557373047,24.394580841064453
2012-06-01,69.73114013671875,13.899543762207031,284.4239196777344,144.66748046875,23.77614402770996
2012-06-04,70.14132690429688,13.607158660888672,288.2146911621094,144.2543182373047,23.859724044799805
2012-06-05,69.95985412597656,13.67463493347168,284.1399841308594,144.75933837890625,23.826290130615234
2012-06-06,71.03258514404297,14.154448509216309,289.20098876953125,148.42420959472656,24.52829360961914
2012-06-07,71.06488037109375,14.244412422180176,288.0353698730469,148.76856994628906,24.428007125854492
2012-06-08,72.13384246826172,14.3943510055542,289.1412353515625,149.30404663085938,24.77900505065918
2012-06-11,70.99650573730469,14.326879501342773,283.18853759765625,147.29185485839844,24.152219772338867
2012-06-12,71.61674499511719,14.60427188873291,281.494873046875,148.85269165039062,24.478145599365234
2012-06-13,71.1195297241211,14.52180290222168,279.49737548828125,147.7432861328125,24.344432830810547
2012-06-14,71.041259765625,14.784200668334961,278.4811706542969,149.2735137939453,24.519939422607422
2012-06-15,71.36443328857422,15.036052703857422,281.20098876953125,152.3339385986328,25.08822250366211
2012-06-18,72.81253051757812,14.848097801208496,284.3591613769531,151.71421813964844,24.93779754638672
2012-06-19,73.01514434814453,15.036052703857422,289.67919921875,152.203857421875,25.656513214111328
2012-06-20,72.80757904052734,15.111223220825195,287.6767272949219,152.08909606933594,25.848724365234375
2012-06-21,71.80447387695312,14.812996864318848,281.5496826171875,147.96511840820312,25.188512802124023
2012-06-22,72.3551025390625,15.025371551513672,284.6729736328125,148.2023162841797,25.656513214111328
2012-06-25,70.94678497314453,14.805415153503418,279.3031005859375,147.55967712402344,24.962867736816406
2012-06-26,71.10340118408203,15.017786979675293,281.2856750488281,146.86338806152344,25.08822250366211
2012-06-27,71.4104232788086,15.268082618713379,283.5870361328125,147.66677856445312,25.213581085205078
2012-06-28,70.73297882080078,15.321174621582031,281.1013488769531,146.44259643554688,24.996295928955078
2012-06-29,72.5912857055664,15.806598663330078,288.9519348144531,149.6407470703125,25.564577102661133
2012-07-02,73.65032196044922,15.54113483428955,289.15118408203125,149.8319854736328,25.539512634277344
2012-07-03,74.50675201416016,15.495624542236328,292.81744384765625,149.9085235595703,25.70665740966797
2012-07-05,75.81562042236328,15.419779777526855,296.84735107421875,149.41885375976562,25.656513214111328
2012-07-06,75.31096649169922,15.169485092163086,291.8959045410156,146.45021057128906,25.230295181274414
2012-07-09,76.3066177368164,15.199820518493652,291.9108581542969,145.118896484375,25.07150650024414
2012-07-10,75.6005859375,14.88125991821289,289.7638854980469,142.50990295410156,24.85422134399414
2012-07-11,75.13072967529297,14.92676830291748,284.52850341796875,141.73712158203125,24.486507415771484
2012-07-12,74.4433364868164,14.744735717773438,284.1748352050781,140.08448791503906,23.926578521728516
2012-07-13,75.19786071777344,14.99503231048584,287.1835632324219,142.318603515625,24.56172752380371
2012-07-16,75.43900299072266,14.858506202697754,286.3865661621094,141.38516235351562,24.60350799560547
2012-07-17,75.44273376464844,14.957109451293945,287.2881774902344,140.512939453125,24.787370681762695
2012-07-18,75.35821533203125,15.04812240600586,289.295654296875,144.03248596191406,25.44757843017578
2012-07-19,76.36006164550781,15.017786979675293,295.42266845703125,149.4571075439453,25.631439208984375
2012-07-20,75.1146011352539,15.070879936218262,304.26953125,147.24595642089844,25.17180061340332
2012-07-23,75.05614471435547,15.237744331359863,306.60577392578125,146.0064697265625,24.46979522705078
2012-07-24,74.6944580078125,15.146723747253418,302.6506042480469,145.63156127929688,24.36115264892578
2012-07-25,71.4688491821289,15.169485092163086,302.85980224609375,146.19773864746094,24.093719482421875
2012-07-26,71.45765686035156,15.594228744506836,305.5347900390625,148.3936309814453,24.369497299194336
2012-07-27,72.73545837402344,15.867280006408691,316.2944641113281,150.2604522705078,24.870935440063477
2012-07-30,73.96231079101562,15.776261329650879,314.96942138671875,150.4823760986328,24.770648956298828
2012-07-31,75.91754913330078,15.738336563110352,315.30316162109375,149.94679260253906,24.62858009338379
2012-08-01,75.42655181884766,15.723166465759277,315.1587219238281,149.33470153808594,24.57843780517578
